State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,1. Agra,1997 - 1998,123600.0,391030,3.16,,
Uttar Pradesh,1. Agra,1998 - 1999,"131,032.00","477,808.00",3.65,,
Uttar Pradesh,1. Agra,1999 - 2000,"136,395.00","529,651.00",3.88,,
Uttar Pradesh,1. Agra,2000 - 2001,"137,775.00","420,786.00",3.05,,
Uttar Pradesh,1. Agra,2001 - 2002,"133,214.00","407,041.00",3.06,,
Uttar Pradesh,1. Agra,2002 - 2003,"129,806.00","428,284.00",3.3,,
Uttar Pradesh,1. Agra,2003 - 2004,"130,473.00","424,924.00",3.26,,
Uttar Pradesh,1. Agra,2004 - 2005,"124,278.00","401,871.00",3.23,,
Uttar Pradesh,1. Agra,2005 - 2006,"128,432.00","425,073.00",3.31,,
Uttar Pradesh,1. Agra,2006 - 2007,"124,278.00","344,240.00",2.77,,
Uttar Pradesh,1. Agra,2007 - 2008,"136,334.00","429,989.00",3.15,,
Uttar Pradesh,1. Agra,2008 - 2009,"131,947.00","434,501.00",3.29,,
Uttar Pradesh,1. Agra,2009 - 2010,"138,121.00","439,639.00",3.18,,
Uttar Pradesh,1. Agra,2010 - 2011,"138,092.00","511,421.00",3.7,,
Uttar Pradesh,1. Agra,2011 - 2012,"134,825.00","525,413.00",3.9,,
Uttar Pradesh,1. Agra,2012 - 2013,"134,889.00","516,890.00",3.83,,
Uttar Pradesh,1. Agra,2013 - 2014,"132,340.00","490,452.00",3.71,,
Uttar Pradesh,1. Agra,2014 - 2015,"136,036.00","327,983.00",2.41,,
Uttar Pradesh,1. Agra,2015 - 2016,"120,903.00","390,033.00",3.23,,
Uttar Pradesh,1. Agra,2016 - 2017,"128,553.00","524,496.00",4.08,,
Uttar Pradesh,1. Agra,2017 - 2018,"137,141.00","553,638.00",4.04,,
Uttar Pradesh,1. Agra,2018 - 2019,"132,369.00","578,320.00",4.37,,
