State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
1. Uttar Pradesh,1. Agra,1997 - 1998,123600.0,391030,3.16,,
,,1998 - 1999,"131,032.00","477,808.00",3.65,,
,,1999 - 2000,"136,395.00","529,651.00",3.88,,
,,2000 - 2001,"137,775.00","420,786.00",3.05,,
,,2001 - 2002,"133,214.00","407,041.00",3.06,,
,,2002 - 2003,"129,806.00","428,284.00",3.3,,
,,2003 - 2004,"130,473.00","424,924.00",3.26,,
,,2004 - 2005,"124,278.00","401,871.00",3.23,,
,,2005 - 2006,"128,432.00","425,073.00",3.31,,
,,2006 - 2007,"124,278.00","344,240.00",2.77,,
,,2007 - 2008,"136,334.00","429,989.00",3.15,,
,,2008 - 2009,"131,947.00","434,501.00",3.29,,
,,2009 - 2010,"138,121.00","439,639.00",3.18,,
,,2010 - 2011,"138,092.00","511,421.00",3.7,,
,,2011 - 2012,"134,825.00","525,413.00",3.9,,
,,2012 - 2013,"134,889.00","516,890.00",3.83,,
,,2013 - 2014,"132,340.00","490,452.00",3.71,,
,,2014 - 2015,"136,036.00","327,983.00",2.41,,
,,2015 - 2016,"120,903.00","390,033.00",3.23,,
,,2016 - 2017,"128,553.00","524,496.00",4.08,,
,,2017 - 2018,"137,141.00","553,638.00",4.04,,
,,2018 - 2019,"132,369.00","578,320.00",4.37,,
,,2019 - 2020,"137,283.00","555,307.00",4.04,,
,,2020 - 2021,"137,658.00","586,148.00",4.26,,
,,2021 - 2022,"141,532.00","573,205.00",4.05,,
,,2022 - 2023,"130,922.00","552,753.00",4.22,,
,2. Aligarh,1997 - 1998,"190,423.00","616,108.00",3.24,,
,,1998 - 1999,"194,677.00","629,068.00",3.23,,
,,1999 - 2000,"205,628.00","625,621.00",3.04,,
,,2000 - 2001,"211,657.00","709,851.00",3.35,,
,,2001 - 2002,"213,864.00","700,120.00",3.27,,
,,2002 - 2003,"212,456.00","718,204.00",3.38,,
,,2003 - 2004,"219,859.00","723,449.00",3.29,,
,,2004 - 2005,"218,709.00","632,775.00",2.89,,
,,2005 - 2006,"215,167.00","655,184.00",3.05,,
,,2006 - 2007,"222,714.00","636,071.00",2.86,,
,,2007 - 2008,"215,097.00","691,967.00",3.22,,
,,2008 - 2009,"221,199.00","749,201.00",3.39,,
,,2009 - 2010,"224,169.00","715,772.00",3.19,,
,,2010 - 2011,"221,809.00","786,313.00",3.55,,
,,2011 - 2012,"217,820.00","820,310.00",3.77,,
,,2012 - 2013,"218,374.00","756,666.00",3.47,,
,,2013 - 2014,"225,289.00","811,266.00",3.6,,
,,2014 - 2015,"223,267.00","546,558.00",2.45,,
,,2015 - 2016,"216,572.00","709,923.00",3.28,,
,,2016 - 2017,"218,163.00","868,289.00",3.98,,
,,2017 - 2018,"223,557.00","961,295.00",4.3,,
,,2018 - 2019,"221,798.00","946,190.00",4.27,,
,,2019 - 2020,"223,574.00","921,572.00",4.12,,
,,2020 - 2021,"223,574.00","934,986.00",4.18,,
,,2021 - 2022,"232,606.00","975,782.00",4.19,,
,,2022 - 2023,"182,135.00","764,238.00",4.2,,
,3. Allahabad,1997 - 1998,"190,876.00","398,756.00",2.09,,
,,1998 - 1999,"203,402.00","391,346.00",1.92,,
,,1999 - 2000,"208,548.00","488,181.00",2.34,,
,,2000 - 2001,"211,443.00","479,894.00",2.27,,
,,2001 - 2002,"210,105.00","442,760.00",2.11,,
,,2002 - 2003,"212,871.00","404,442.00",1.9,,
,,2003 - 2004,"217,811.00","549,516.00",2.52,,
,,2004 - 2005,"204,827.00","367,569.00",1.79,,
,,2005 - 2006,"230,058.00","454,785.00",1.98,,
,,2006 - 2007,"208,249.00","486,357.00",2.34,,
,,2007 - 2008,"223,737.00","499,761.00",2.23,,
,,2008 - 2009,"221,972.00","553,542.00",2.49,,
,,2009 - 2010,"208,376.00","445,788.00",2.14,,
,,2010 - 2011,"210,574.00","519,125.00",2.47,,
,,2011 - 2012,"216,174.00","571,545.00",2.64,,
,,2012 - 2013,"220,342.00","549,112.00",2.49,,
,,2013 - 2014,"214,421.00","522,361.00",2.44,,
,,2014 - 2015,"213,258.00","290,829.00",1.36,,
,,2015 - 2016,"234,879.00","449,089.00",1.91,,
,,2016 - 2017,"223,336.00","669,621.00",3,,
,,2017 - 2018,"210,205.00","790,673.00",3.76,,
,,2018 - 2019,"210,752.00","748,837.00",3.55,,
,,2019 - 2020,"210,714.00","593,160.00",2.82,,
,,2020 - 2021,"210,752.00","755,631.00",3.59,,
,,2021 - 2022,"222,277.00","638,602.00",2.87,,
,,2022 - 2023,"244,722.00","563,350.00",2.3,,
,4. Ambedkar nagar,1997 - 1998,"108,236.00","322,887.00",2.98,,
,,1998 - 1999,"112,662.00","318,477.00",2.83,,
,,1999 - 2000,"113,982.00","315,865.00",2.77,,
,,2000 - 2001,"114,379.00","305,979.00",2.68,,
,,2001 - 2002,"116,838.00","280,746.00",2.4,,
,,2002 - 2003,"117,009.00","322,256.00",2.75,,
,,2003 - 2004,"117,089.00","353,451.00",3.02,,
,,2004 - 2005,"118,518.00","322,228.00",2.72,,
,,2005 - 2006,"114,783.00","341,709.00",2.98,,
,,2006 - 2007,"114,866.00","340,003.00",2.96,,
,,2007 - 2008,"118,472.00","384,323.00",3.24,,
,,2008 - 2009,"119,016.00","394,300.00",3.31,,
,,2009 - 2010,"116,213.00","363,747.00",3.13,,
,,2010 - 2011,"113,528.00","380,546.00",3.35,,
,,2011 - 2012,"118,006.00","396,146.00",3.36,,
,,2012 - 2013,"117,083.00","391,291.00",3.34,,
,,2013 - 2014,"118,419.00","407,835.00",3.44,,
,,2014 - 2015,"120,131.00","275,941.00",2.3,,
,,2015 - 2016,"120,248.00","382,749.00",3.18,,
,,2016 - 2017,"119,766.00","425,050.00",3.55,,
,,2017 - 2018,"117,806.00","484,300.00",4.11,,
,,2018 - 2019,"119,235.00","488,740.00",4.1,,
,,2019 - 2020,"119,046.00","466,422.00",3.92,,
,,2020 - 2021,"119,547.00","459,300.00",3.84,,
,,2021 - 2022,"123,724.00","455,799.00",3.68,,
,,2022 - 2023,"118,413.00","402,367.00",3.4,,
,5. Amethi,2010 - 2011,"83,104.00","232,109.00",2.79,,
,,2011 - 2012,"125,328.00","360,193.00",2.87,,
,,2012 - 2013,"126,450.00","387,190.00",3.06,,
,,2013 - 2014,"127,180.00","302,688.00",2.38,,
,,2014 - 2015,"95,382.00","173,595.00",1.82,,
,,2015 - 2016,"93,992.00","223,231.00",2.38,,
,,2016 - 2017,"126,984.00","388,698.00",3.06,,
,,2017 - 2018,"128,799.00","499,225.00",3.88,,
,,2018 - 2019,"129,363.00","458,204.00",3.54,,
,,2019 - 2020,"126,155.00","389,314.00",3.09,,
,,2020 - 2021,"127,185.00","493,223.00",3.88,,
,,2021 - 2022,"138,543.00","445,416.00",3.22,,
,,2022 - 2023,"129,528.00","381,460.00",2.95,,
,6. Amroha,1997 - 1998,"101,429.00","284,513.00",2.81,,
,,1998 - 1999,"103,684.00","302,560.00",2.92,,
,,1999 - 2000,"94,302.00","289,422.00",3.07,,
,,2000 - 2001,"95,440.00","285,847.00",3,,
,,2001 - 2002,"94,076.00","302,672.00",3.22,,
,,2002 - 2003,"90,591.00","262,505.00",2.9,,
,,2003 - 2004,"92,947.00","288,702.00",3.11,,
,,2004 - 2005,"95,068.00","236,618.00",2.49,,
,,2005 - 2006,"87,386.00","253,682.00",2.9,,
,,2006 - 2007,"89,902.00","282,472.00",3.14,,
,,2007 - 2008,"92,289.00","277,421.00",3.01,,
,,2008 - 2009,"94,217.00","297,255.00",3.16,,
,,2009 - 2010,"97,745.00","278,280.00",2.85,,
,,2010 - 2011,"92,023.00","291,805.00",3.17,,
,,2011 - 2012,"91,042.00","287,966.00",3.16,,
,,2012 - 2013,"90,059.00","289,179.00",3.21,,
,,2013 - 2014,"92,633.00","305,040.00",3.29,,
,,2014 - 2015,"91,563.00","193,106.00",2.11,,
,,2015 - 2016,"92,461.00","273,869.00",2.96,,
,,2016 - 2017,"92,704.00","325,484.00",3.51,,
,,2017 - 2018,"90,058.00","333,755.00",3.71,,
,,2018 - 2019,"88,417.00","336,604.00",3.81,,
,,2019 - 2020,"89,939.00","348,334.00",3.87,,
,,2020 - 2021,"92,094.00","370,218.00",4.02,,
,,2021 - 2022,"96,101.00","379,407.00",3.95,,
,,2022 - 2023,"92,734.00","381,508.00",4.11,,
,7. Auraiya,1997 - 1998,"80,275.00","210,195.00",2.62,,
,,1998 - 1999,"86,080.00","292,191.00",3.39,,
,,1999 - 2000,"86,927.00","282,638.00",3.25,,
,,2000 - 2001,"88,940.00","298,990.00",3.36,,
,,2001 - 2002,"88,476.00","289,048.00",3.27,,
,,2002 - 2003,"87,132.00","246,720.00",2.83,,
,,2003 - 2004,"91,012.00","284,408.00",3.12,,
,,2004 - 2005,"93,788.00","235,712.00",2.51,,
,,2005 - 2006,"91,594.00","267,912.00",2.92,,
,,2006 - 2007,"94,498.00","296,535.00",3.14,,
,,2007 - 2008,"94,475.00","288,716.00",3.06,,
,,2008 - 2009,"98,367.00","348,022.00",3.54,,
,,2009 - 2010,"99,599.00","286,148.00",2.87,,
,,2010 - 2011,"100,626.00","377,448.00",3.75,,
,,2011 - 2012,"101,534.00","390,703.00",3.85,,
,,2012 - 2013,"103,644.00","376,020.00",3.63,,
,,2013 - 2014,"104,354.00","398,006.00",3.81,,
,,2014 - 2015,"104,341.00","236,332.00",2.26,,
